author_id,total_comments,unique_videos,concentration,avg_likes,zero_like_ratio,max_burst,avg_length,unique_content_ratio,self_similarity,has_ad_keywords,url_ratio,night_ratio,interval_std,is_bot
UC--2Ijw1bBEkvM0NMtqOi8A,1,1,1.0,2.0,0.0,1,158.0,1.0,0.0,0,0.0,0.0,0.0,0
UC--FOLguzVIfmg0FW2--aHA,1,1,1.0,0.0,1.0,1,5.0,1.0,0.0,0,0.0,0.0,0.0,0
UC--HyHMWuc3klxpTfLDuUwQ,2,0,0.0,0.5,0.5,1,155.0,1.0,0.2871940661687922,0,0.0,0.0,0.0,0
UC--Pgv7JxoVMfkwy3nBBnpw,1,1,1.0,0.0,1.0,1,20.0,1.0,0.0,0,0.0,0.0,0.0,0
UC--SF6GjFoXQGnQ1BvwVJKA,1,1,1.0,0.0,1.0,1,9.0,1.0,0.0,0,0.0,0.0,0.0,0
UC--agbttbQPcP94xSklp8gQ,1,1,1.0,3.0,0.0,1,12.0,1.0,0.0,0,0.0,0.0,0.0,0
UC--c8yYJDbl0emubKDNbGtg,1,1,1.0,0.0,1.0,1,64.0,1.0,0.0,0,0.0,1.0,0.0,0
UC--enqnIbZBfyQcqe3YUeEQ,8,1,8.0,0.25,0.75,2,52.375,1.0,0.1099010472010617,0,0.0,0.0,130424.71957507938,1
UC--whvox-wzh8S9Be9Bpwbg,1,1,1.0,0.0,1.0,1,7.0,1.0,0.0,0,0.0,1.0,0.0,0
UC--wwFp1CYaVd1espRhvM8g,3,2,1.5,0.3333333333333333,0.6666666666666666,1,15.666666666666666,1.0,0.0198347533174734,0,0.0,0.0,100278.34817397024,0
UC-0-y9fIJfqI74EscZZZqjg,1,1,1.0,1.0,0.0,1,4.0,1.0,0.0,0,0.0,0.0,0.0,0
UC-04-YTRqCEmKVirdlwwonA,7,5,1.4,2.7142857142857144,0.5714285714285714,4,46.0,1.0,0.1582713728560978,0,0.0,0.0,167289.2346583206,0
UC-0772SUKZbf-jGcDr9DqVA,1,1,1.0,0.0,1.0,1,12.0,1.0,0.0,0,0.0,0.0,0.0,0
UC-0Jj2JDyewv0-6iuzv3iBg,1,1,1.0,0.0,1.0,1,14.0,1.0,0.0,0,0.0,0.0,0.0,0
UC-0OQ8x68WPUANaQj7Nay1Q,1,1,1.0,0.0,1.0,1,13.0,1.0,0.0,0,0.0,0.0,0.0,0
UC-0QUOwqdL8xsk7xEW9oTJQ,1,1,1.0,0.0,1.0,1,11.0,1.0,0.0,0,0.0,1.0,0.0,0
UC-0S_MBe88zMjtILxJKnYlg,2,2,1.0,0.5,0.5,1,20.5,1.0,0.0,0,0.0,0.0,0.0,0
UC-0yawZHUfu_cLGjiY6ss2Q,1,1,1.0,0.0,1.0,1,17.0,1.0,0.0,0,0.0,0.0,0.0,0
UC-11u58ctyG0wWrgxeJ39nQ,1,1,1.0,1.0,0.0,1,8.0,1.0,0.0,0,0.0,0.0,0.0,0
UC-17mKP-z_rp7-f4FXGdNEQ,1,1,1.0,2.0,0.0,1,13.0,1.0,0.0,0,0.0,0.0,0.0,0
UC-1ADBHAmgKD5yg6zvPJ-wA,1,1,1.0,0.0,1.0,1,54.0,1.0,0.0,0,0.0,0.0,0.0,0
UC-1KbjS-fucHyALG3M9_EfA,1,1,1.0,2.0,0.0,1,21.0,1.0,0.0,0,0.0,0.0,0.0,0
UC-1WRAgso6wOM1wlDJTHQdA,1,1,1.0,2.0,0.0,1,43.0,1.0,0.0,0,0.0,0.0,0.0,0
UC-1c8B_CrJES4WTCY2p46lw,1,1,1.0,9.0,0.0,1,31.0,1.0,0.0,0,0.0,0.0,0.0,0
UC-1h4NJqoCv7l-pd7bPpLZg,1,1,1.0,0.0,1.0,1,36.0,1.0,0.0,0,0.0,0.0,0.0,0
UC-1k-M9s6bh2cvcYJCgGCxA,2,1,2.0,3.5,0.0,2,20.5,1.0,0.160035890956277,0,0.0,1.0,0.0,0
UC-224PQrD7ilsAumlAHvDeQ,1,1,1.0,0.0,1.0,1,6.0,1.0,0.0,0,0.0,0.0,0.0,0
UC-28_Y7PDWfiaUMJjDClE4w,1,1,1.0,0.0,1.0,1,32.0,1.0,0.0,0,0.0,1.0,0.0,0
UC-2EAXq0lbJQQS_26k7aeHg,1,1,1.0,1.0,0.0,1,738.0,1.0,0.0,0,0.0,0.0,0.0,0
UC-2GVNDWt74peo0vd-OCNfA,2,1,2.0,2.5,0.5,2,46.0,1.0,0.2082879870124798,0,0.0,1.0,0.0,0
UC-2Gqku6ZXag7guVVQituEA,2,2,1.0,0.0,1.0,1,6.5,1.0,0.0,0,0.0,0.0,0.0,0
UC-2OPaEwzIprPOD0jj0fRqw,1,1,1.0,0.0,1.0,1,27.0,1.0,0.0,0,0.0,0.0,0.0,0
UC-2bsfQ6KuVSRFPsvM8Al_A,1,1,1.0,0.0,1.0,1,13.0,1.0,0.0,0,0.0,0.0,0.0,0
UC-2gz3XFQSAuhHgrEbMTe6g,1,1,1.0,16.0,0.0,1,71.0,1.0,0.0,0,0.0,0.0,0.0,0
UC-2hetB6BBUnms2U7FhRrLw,6,3,2.0,0.3333333333333333,0.6666666666666666,3,18.166666666666668,1.0,0.0426306563620825,0,0.0,0.5,62340.02236685515,0
UC-2zdNgRTAwl1qGn-VSpRRg,1,1,1.0,0.0,1.0,1,15.0,1.0,0.0,0,0.0,1.0,0.0,0
UC-3D9vwsDBWxxPx83Qt9Sxw,1,1,1.0,1.0,0.0,1,54.0,1.0,0.0,0,0.0,1.0,0.0,0
UC-3I1U0txFAXYKCMwPacw3A,1,1,1.0,0.0,1.0,1,15.0,1.0,0.0,0,0.0,0.0,0.0,0
UC-3IIuRVO1z668-HLoNuCVA,1,1,1.0,4.0,0.0,1,14.0,1.0,0.0,0,0.0,1.0,0.0,0
UC-3Mx52W3M8xGpGdRJBjrcg,1,1,1.0,0.0,1.0,1,7.0,1.0,0.0,0,0.0,0.0,0.0,0
UC-3NaOabpEshpViYwXS3eeA,1,1,1.0,0.0,1.0,1,435.0,1.0,0.0,0,0.0,0.0,0.0,0
UC-3O6IpiqqCVJkvyL4uAp0Q,2,2,1.0,0.0,1.0,1,4.0,1.0,0.0,0,0.0,0.5,0.0,0
UC-3QzYoB7pUZzzRn1sPgdOA,1,1,1.0,0.0,1.0,1,23.0,1.0,0.0,0,0.0,1.0,0.0,0
UC-3WIWNBWMKelAwo20iVNBQ,1,1,1.0,2.0,0.0,1,11.0,1.0,0.0,0,0.0,1.0,0.0,0
UC-3_k5oXflhjc4D0zn8DRaA,1,1,1.0,0.0,1.0,1,17.0,1.0,0.0,0,0.0,0.0,0.0,0
UC-3dbSmn2ZAH4YLz-Ur6DKw,2,2,1.0,0.5,0.5,2,31.0,1.0,0.0,0,0.0,0.0,0.0,0
UC-3egCP-6Ntcx43i7XzTT1A,6,6,1.0,0.0,1.0,2,377.8333333333333,1.0,0.2853339666837947,0,0.0,1.0,110448.85565817331,0
UC-3fkSF5IXIDzAVRkcS6NFw,1,1,1.0,0.0,1.0,1,27.0,1.0,0.0,0,0.0,0.0,0.0,0
UC-3ognz45AdnWTeafpIWkqg,1,1,1.0,0.0,1.0,1,9.0,1.0,0.0,0,0.0,0.0,0.0,0
UC-4-W0KciDtOWsORYRBnruQ,1,1,1.0,0.0,1.0,1,61.0,1.0,0.0,0,0.0,1.0,0.0,0
UC-4J-NP5Sm3SvyJfK0KhQ7g,2,1,2.0,0.0,1.0,2,19.5,1.0,0.0829906058977434,0,0.0,0.0,0.0,0
UC-4JaOhUIU2ZxVEOuoRBWJQ,1,1,1.0,0.0,1.0,1,19.0,1.0,0.0,0,0.0,0.0,0.0,0
UC-4KDSGBy12MLKD9d_Ufivw,2,1,2.0,4.0,0.0,1,17.0,1.0,0.0,0,0.0,0.5,0.0,0
UC-4VJ5hQ50yoF3gpr0LKwbg,6,4,1.5,0.0,1.0,3,26.0,1.0,0.1054975365364701,0,0.0,0.8333333333333334,120005.34140737235,0
UC-4WBBH7_WQ8gqsOYoxuOdA,1,1,1.0,1.0,0.0,1,315.0,1.0,0.0,0,0.0,0.0,0.0,0
UC-4bUwa3vQ9YVBRAWfd1wYg,2,0,0.0,0.0,1.0,2,5.0,1.0,0.9986876634765888,0,0.0,0.0,0.0,0
UC-4iKygeo0VhbOICCTHbnJA,1,0,0.0,2.0,0.0,1,23.0,1.0,0.0,0,0.0,0.0,0.0,0
UC-4qT2L7oWZPwBE5CAizd3g,1,1,1.0,2.0,0.0,1,50.0,1.0,0.0,0,0.0,0.0,0.0,0
UC-5-lefUoyNmQOhzJK0ILvA,2,2,1.0,1.5,0.0,1,56.0,1.0,0.1058843870842596,0,0.0,0.0,0.0,0
UC-59K5E4VlxAXnb-32nh4LQ,2,1,2.0,0.0,1.0,1,233.5,1.0,0.8820945167820958,0,0.0,0.5,0.0,0
UC-5VCXHRBXgpslEDNTvEZ4w,1,1,1.0,1.0,0.0,1,21.0,1.0,0.0,0,0.0,0.0,0.0,0
UC-5WVmrglFLJdWRRIkPNLdA,1,1,1.0,3.0,0.0,1,14.0,1.0,0.0,0,0.0,0.0,0.0,0
UC-5c_OvfDinSvaWHRIrm84Q,1,1,1.0,0.0,1.0,1,15.0,1.0,0.0,0,0.0,0.0,0.0,0
UC-61A0XG56WrcDqPYci34KQ,1,1,1.0,1.0,0.0,1,18.0,1.0,0.0,0,0.0,0.0,0.0,0
UC-69Il8ZOMEvi_XTiZjPSBQ,1,1,1.0,0.0,1.0,1,23.0,1.0,0.0,0,0.0,0.0,0.0,0
UC-6Bz071chHnap3kT64Uy4Q,1,1,1.0,0.0,1.0,1,4.0,1.0,0.0,0,0.0,1.0,0.0,0
UC-6E9_aA697UENogR9XR6bQ,1,1,1.0,0.0,1.0,1,13.0,1.0,0.0,0,0.0,0.0,0.0,0
UC-6J7TRHw8u-h-y1n5JVzeA,1,1,1.0,0.0,1.0,1,16.0,1.0,0.0,0,0.0,0.0,0.0,0
UC-6g1PP5tTQRac6u9jcqBiw,1,1,1.0,65.0,0.0,1,17.0,1.0,0.0,0,0.0,0.0,0.0,0
UC-6mm1y2GXL-TeNUc2FgbGQ,1,1,1.0,0.0,1.0,1,16.0,1.0,0.0,0,0.0,0.0,0.0,0
UC-72SmO7jzGTG2eLe4H-Aew,1,1,1.0,1.0,0.0,1,12.0,1.0,0.0,0,0.0,0.0,0.0,0
UC-7B-eGuvzqNoUG3qBGsIpQ,1,1,1.0,0.0,1.0,1,3.0,1.0,0.0,0,0.0,0.0,0.0,0
UC-7B-rQD1BMA82l8YqY1CIg,1,1,1.0,1.0,0.0,1,18.0,1.0,0.0,0,0.0,0.0,0.0,0
UC-7HsO9DhgDmmM5iWQX4IcQ,1,1,1.0,18.0,0.0,1,19.0,1.0,0.0,0,0.0,1.0,0.0,0
UC-7O4IGkd53EX2cF5du6iuA,1,1,1.0,1.0,0.0,1,6.0,1.0,0.0,0,0.0,0.0,0.0,0
